cdrRecordType,globalCallID_callManagerId,globalCallID_callId,origLegCallIdentifier,dateTimeOrigination,origNodeId,origIpAddr,callingPartyNumber,origCause_value,destLegCallIdentifier,destNodeId,destIpAddr,originalCalledPartyNumber,destCause_value,dateTimeConnect,dateTimeDisconnect,pkid,finalCalledPartyNumberPartition,duration,origDeviceName,destDeviceName,origCallTerminationOnBehalfOf,destCallTerminationOnBehalfOf,joinOnBehalfOf,origIpv4v6Addr,destIpv4v6Addr
1,4,872185,75390595,1452774590,4,17502380,3365585309,16,75390608,4,17502380,3091,393216,1452774642,1452774657,a7db1ffb-3463-4853-abcd-f8d4702ad820,LANGHORNE_IT_Calling_PT,15,172.16.11.1,172.16.11.1,12,17,5,172.16.11.1,172.16.11.1
1,4,872186,75390609,1452774652,4,18664714,,16,75390612,4,1694566154,1300,0,1452774652,1452774662,d9f70675-cd21-4f05-a400-83b4d999914c,Voicemail,10,10.205.28.1,CALUNITY02,12,0,5,10.205.28.1,10.7.1.101
